ano;mes;Homicídio doloso;Latrocínio (roubo seguido de morte);Letalidade violenta;Tentativa de homicídio;Lesão corporal dolosa;Roubo a transeunte;Roubo em coletivo;Roubo de rua;Roubo de veículo;Roubo de carga;Roubo a estabelecimento comercial;Roubo a residência;Roubo a banco;Outros roubos que não os listados acima;Total de roubos;Furto de veículo;Furto a transeunte;Outros furtos que não os listados acima;Total de furtos;Apreensão de drogas;Recuperação de veículo
1991;1;657;15;672;162;3051;967;381;1348;1174;63;350;188;37;158;3318;2009;1147;3561;6717;133;872
1991;2;732;17;749;175;3421;963;432;1395;1097;64;357;171;35;142;3261;1850;1066;3309;6225;127;751
1991;3;713;25;738;216;3613;963;422;1385;1265;71;443;191;43;131;3529;2084;1062;3573;6719;80;789
1991;4;634;20;654;200;3211;1186;354;1540;1415;81;425;199;36;112;3808;2085;1195;3290;6570;133;787
1991;5;650;20;670;146;3051;931;335;1266;1449;82;553;231;27;147;3755;2185;723;3546;6454;163;845
1991;6;647;14;661;201;2977;831;342;1173;1354;82;518;178;37;81;3423;1992;673;3519;6184;157;802
1991;7;558;14;572;201;2784;797;308;1105;1365;82;496;186;25;94;3353;1978;700;3604;6282;203;870
1991;8;557;11;568;209;3134;813;299;1112;1347;71;498;189;29;88;3334;1835;794;3641;6270;215;809
1991;9;542;19;561;146;3026;805;281;1086;1353;91;473;199;12;90;3304;1993;810;3460;6263;179;756
1991;10;613;21;634;200;3482;834;328;1162;1470;83;561;228;16;107;3627;1999;862;3621;6482;184;818
1991;11;577;13;590;192;3300;978;409;1387;1600;94;569;239;26;97;4012;2039;884;3601;6524;170;886
1991;12;638;16;654;202;4003;1022;358;1380;1563;157;563;242;24;131;4060;1930;1028;3563;6521;122;905
1992;1;617;19;636;176;3155;962;373;1335;1801;172;579;271;12;126;4296;2357;969;3987;7313;189;984
1992;2;691;27;718;184;3413;967;426;1393;1877;200;613;300;28;139;4550;2236;937;3713;6886;154;917
1992;3;767;12;779;181;3732;1069;426;1495;1825;172;559;250;27;82;4410;2241;939;3983;7163;179;951
1992;4;648;29;677;172;3293;1050;438;1488;2090;182;544;268;13;119;4704;2199;875;3841;6915;138;969
